theme,month,post_only_count,eligible_posts,rate_per_1k,rate_per_1k_charted,days_observed,coverage_start
rupture,2024-06,88,36717,2.3967,2.3967,30,2022-12-01
rupture,2024-07,66,20891,3.1593,3.1593,31,2022-12-01
rupture,2024-08,117,28739,4.0711,4.0711,31,2022-12-01
rupture,2024-09,208,24454,8.5058,8.5058,30,2022-12-01
rupture,2024-10,111,21429,5.1799,5.1799,31,2022-12-01
rupture,2024-11,105,23462,4.4753,4.4753,30,2022-12-01
rupture,2024-12,104,26389,3.941,3.941,31,2022-12-01
rupture,2025-01,82,26619,3.0805,3.0805,31,2022-12-01
rupture,2025-02,44,15567,2.8265,2.8265,28,2022-12-01
rupture,2025-03,34,15137,2.2462,2.2462,31,2022-12-01
rupture,2025-04,49,18673,2.6241,2.6241,30,2022-12-01
rupture,2025-05,55,14654,3.7532,3.7532,31,2022-12-01
rupture,2025-06,63,18848,3.3425,3.3425,30,2022-12-01
rupture,2025-07,91,19174,4.746,4.746,31,2022-12-01
rupture,2025-08,162,16688,9.7076,9.7076,31,2022-12-01
rupture,2025-09,100,12663,7.897,7.897,30,2022-12-01
rupture,2025-10,176,14828,11.8694,11.8694,31,2022-12-01
rupture,2025-11,131,12250,10.6939,10.6939,30,2022-12-01
rupture,2025-12,119,11655,10.2102,10.2102,31,2022-12-01
rupture,2026-01,178,11854,15.016,15.016,31,2022-12-01
rupture,2026-02,559,16824,33.2263,33.2263,28,2022-12-01
rupture,2026-03,333,15245,21.8432,21.8432,31,2022-12-01
rupture,2026-04,176,12822,13.7264,13.7264,30,2022-12-01
rupture,2026-05,293,16060,18.2441,18.2441,31,2022-12-01
rupture,2026-06,135,11989,11.2603,11.2603,30,2022-12-01
rupture,2026-07,126,9380,13.4328,13.4328,31,2022-12-01
rupture,2026-08,110,9777,11.2509,11.2509,31,2022-12-01
